Gene	Tissue	Group
ENSCAFG00000001333	All	Expressed-In-All
ENSCAFG00000001337	All	Expressed-In-All
ENSCAFG00000001343	All	Expressed-In-All
ENSCAFG00000001344	All	Expressed-In-All
ENSCAFG00000001345	All	Expressed-In-All
ENSCAFG00000001346	All	Expressed-In-All
ENSCAFG00000001350	All	Expressed-In-All
ENSCAFG00000001352	All	Expressed-In-All
ENSCAFG00000001355	All	Expressed-In-All
ENSCAFG00000001358	All	Expressed-In-All
ENSCAFG00000001360	All	Expressed-In-All
ENSCAFG00000001364	All	Expressed-In-All
ENSCAFG00000001370	All	Expressed-In-All
ENSCAFG00000001371	All	Expressed-In-All
ENSCAFG00000001372	All	Expressed-In-All
ENSCAFG00000001377	All	Expressed-In-All
ENSCAFG00000001378	All	Expressed-In-All
ENSCAFG00000001379	All	Expressed-In-All
ENSCAFG00000001381	All	Expressed-In-All
ENSCAFG00000001382	All	Expressed-In-All
ENSCAFG00000001383	All	Expressed-In-All
ENSCAFG00000001384	All	Expressed-In-All
ENSCAFG00000001386	All	Expressed-In-All
ENSCAFG00000001390	All	Expressed-In-All
ENSCAFG00000001395	All	Expressed-In-All
ENSCAFG00000001397	All	Expressed-In-All
ENSCAFG00000001398	All	Expressed-In-All
ENSCAFG00000001399	All	Expressed-In-All
ENSCAFG00000001400	All	Expressed-In-All
ENSCAFG00000001402	All	Expressed-In-All
ENSCAFG00000001403	All	Expressed-In-All
ENSCAFG00000001404	All	Expressed-In-All
ENSCAFG00000001405	All	Expressed-In-All
ENSCAFG00000001406	All	Expressed-In-All
ENSCAFG00000001411	All	Expressed-In-All
ENSCAFG00000001413	All	Expressed-In-All
ENSCAFG00000001414	All	Expressed-In-All
ENSCAFG00000001420	All	Expressed-In-All
ENSCAFG00000001424	All	Expressed-In-All
ENSCAFG00000001425	All	Expressed-In-All
ENSCAFG00000001426	All	Expressed-In-All
ENSCAFG00000001428	All	Expressed-In-All
ENSCAFG00000001431	All	Expressed-In-All
ENSCAFG00000001432	All	Expressed-In-All
ENSCAFG00000001433	All	Expressed-In-All
ENSCAFG00000001434	All	Expressed-In-All
ENSCAFG00000001435	All	Expressed-In-All
ENSCAFG00000001437	All	Expressed-In-All
ENSCAFG00000001438	All	Expressed-In-All
ENSCAFG00000001441	All	Expressed-In-All
ENSCAFG00000001442	All	Expressed-In-All
ENSCAFG00000001443	All	Expressed-In-All
ENSCAFG00000001445	All	Expressed-In-All
ENSCAFG00000001448	All	Expressed-In-All
ENSCAFG00000001456	All	Expressed-In-All
ENSCAFG00000001459	All	Expressed-In-All
ENSCAFG00000001462	All	Expressed-In-All
ENSCAFG00000001474	All	Expressed-In-All
ENSCAFG00000001477	All	Expressed-In-All
ENSCAFG00000001487	All	Expressed-In-All
ENSCAFG00000001489	All	Expressed-In-All
ENSCAFG00000001492	All	Expressed-In-All
ENSCAFG00000001495	All	Expressed-In-All
ENSCAFG00000001496	All	Expressed-In-All
ENSCAFG00000001497	All	Expressed-In-All
ENSCAFG00000001498	All	Expressed-In-All
ENSCAFG00000001499	All	Expressed-In-All
ENSCAFG00000001500	All	Expressed-In-All
ENSCAFG00000001501	All	Expressed-In-All
ENSCAFG00000001505	All	Expressed-In-All
ENSCAFG00000001507	All	Expressed-In-All
ENSCAFG00000001520	All	Expressed-In-All
ENSCAFG00000001521	All	Expressed-In-All
ENSCAFG00000001523	All	Expressed-In-All
ENSCAFG00000001524	All	Expressed-In-All
ENSCAFG00000001529	All	Expressed-In-All
ENSCAFG00000001531	All	Expressed-In-All
ENSCAFG00000001532	All	Expressed-In-All
ENSCAFG00000001534	All	Expressed-In-All
ENSCAFG00000001536	All	Expressed-In-All
ENSCAFG00000001540	All	Expressed-In-All
ENSCAFG00000001541	All	Expressed-In-All
ENSCAFG00000001543	All	Expressed-In-All
ENSCAFG00000001544	All	Expressed-In-All
ENSCAFG00000001545	All	Expressed-In-All
ENSCAFG00000001546	All	Expressed-In-All
ENSCAFG00000001548	All	Expressed-In-All
ENSCAFG00000001549	All	Expressed-In-All
ENSCAFG00000001551	All	Expressed-In-All
ENSCAFG00000001553	All	Expressed-In-All
ENSCAFG00000001554	All	Expressed-In-All
ENSCAFG00000001563	All	Expressed-In-All
ENSCAFG00000001565	All	Expressed-In-All
ENSCAFG00000001568	All	Expressed-In-All
ENSCAFG00000001576	All	Expressed-In-All
ENSCAFG00000001577	All	Expressed-In-All
ENSCAFG00000001578	All	Expressed-In-All
ENSCAFG00000001579	All	Expressed-In-All
ENSCAFG00000001580	All	Expressed-In-All
ENSCAFG00000001588	All	Expressed-In-All
ENSCAFG00000001595	All	Expressed-In-All
ENSCAFG00000001596	All	Expressed-In-All
ENSCAFG00000001598	All	Expressed-In-All
ENSCAFG00000001599	All	Expressed-In-All
ENSCAFG00000001600	All	Expressed-In-All
ENSCAFG00000001605	All	Expressed-In-All
ENSCAFG00000001609	All	Expressed-In-All
ENSCAFG00000001610	All	Expressed-In-All
ENSCAFG00000001612	All	Expressed-In-All
ENSCAFG00000001613	All	Expressed-In-All
ENSCAFG00000001614	All	Expressed-In-All
ENSCAFG00000001617	All	Expressed-In-All
ENSCAFG00000001618	All	Expressed-In-All
ENSCAFG00000001620	All	Expressed-In-All
ENSCAFG00000001622	All	Expressed-In-All
ENSCAFG00000001624	All	Expressed-In-All
ENSCAFG00000001627	All	Expressed-In-All
ENSCAFG00000001630	All	Expressed-In-All
ENSCAFG00000001633	All	Expressed-In-All
ENSCAFG00000001635	All	Expressed-In-All
ENSCAFG00000001636	All	Expressed-In-All
ENSCAFG00000001644	All	Expressed-In-All
ENSCAFG00000001651	All	Expressed-In-All
ENSCAFG00000001652	All	Expressed-In-All
ENSCAFG00000001655	All	Expressed-In-All
ENSCAFG00000001660	All	Expressed-In-All
